vin,make,model,trim,transmission,color,interior
wbakb8c51cc964387,BMW,750Li,LWB,,,
wbakb8c53cc964410,BMW,750Li,LWB,,,
wbakb8c54cc964089,BMW,750Li,LWB,,,
wbakb8c59cc448049,BMW,750Li,LWB,,,
wbakb8c58cc962863,BMW,750Li,LWB,,,
wbakb8c50cc964249,BMW,750Li,LWB,,,
wbakc8c50cc435719,BMW,750Lxi,xDrive LWB,,,
salmf1e46ca360169,LAND ROVER,Range Rover,HSE LUX,Automatic,,
salmf1e48ca360609,LAND ROVER,Range Rover,HSE LUX,Automatic,,
1ftlr1fe5bpa06821,FORD,Ranger,,,,
2fabp7bv5ax113795,FORD,Crown Victoria,,,,
wbahl83508dt12627,BMW,750i,,,,
wp0cb29918s776707,PORSCHE,911,4S Cabriolet,,,
wp0ab29958s731146,PORSCHE,911,4S,,,
1g1yy26u575103115,CHEVROLET,Corvette,,,,
3gnda23d37s503802,CHEVROLET,HHR,LT,Manual,,
2hjyk16556h570971,HONDA,Ridgeline,,Automatic,,
1ftrx14w25fa34730,FORD,F-150,Styleside,,,
jm1fe173940111590,MAZDA,RX-8,,,,
1g2wj52k4vf277794,PONTIAC,Grand Prix,,,,
1fthx26f0vec28239,FORD,F-250,,,,
1gccs14z3k8155622,CHEVROLET,S-10 Pickup,,,,
salwr2vf4ea300112,LAND ROVER,Range Rover Sport,HSE,Automatic,,
salme15446a212545,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
wbakb8c56bcy65479,BMW,750Li,,,,
2c4rdgdg9er204627,DODGE,Grand Caravan,Crew,,,
4a32b2ff1be028385,MITSUBISHI,Galant,,,,
4a32b2ff1be011652,MITSUBISHI,Galant,,,,
1gb6g3bg6a1146243,CHEVROLET,Express,,,,
3c4pddfg3et125938,DODGE,Journey,R/T,,,
1gbhg39c991142792,CHEVROLET,Express,,,,
1gbhg31cx91182441,CHEVROLET,Express,,,,
5y2sn67099z434736,PONTIAC,Vibe,GT,Manual,,
1g2ar55h097235724,PONTIAC,G5,Base,Automatic,,
wbahl83528dt13441,BMW,750i,,,,
2cndl937986068592,CHEVROLET,Equinox,Sport,,,
2d8hn44h88r772115,DODGE,Caravan/Grand Caravan,SE,,,
1gbjc34d27e161347,CHEVROLET,Silverado,LTZ,,,
1g1yy26e875111153,CHEVROLET,Corvette,,,,
3gnda33p67s576906,CHEVROLET,HHR,LT,Manual,,
1fmfk165x7la40166,FORD,Expedition MAX,,,,
salmf13437a253802,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
jtjbt20x870146372,LEXUS,GX,470,,,
jm3er293870166868,MAZDA,CX-7,,,,
jm3er293x70152387,MAZDA,CX-7,,,,
zamfe39a670029047,MASERATI,Quattroporte,,Automatic,,
jm1cr193x70148611,MAZDA,Mazda5,,,,
wdbrf52h77f915469,MERCEDES-BENZ,C-Class,,,,
jm1cr293870139525,MAZDA,Mazda5,,,,
wddfh34x67j220703,MERCEDES-BENZ,,,,,
jf1sg67657h728092,SUBARU,Forester,L.L.Bean,Automatic,,
1g1aj15f467741636,CHEVROLET,Cobalt,Base,,,
1g1yy26u065103179,CHEVROLET,Corvette,,,,
3gnda13d16s562579,CHEVROLET,HHR,LS,,,
2a4gm68466r847563,CHRYSLER,Pacifica,Touring,,,
2a4gm68476r853114,CHRYSLER,Pacifica,Touring,,,
1fdss34p06ha19973,FORD,E-350,,,,
1fdss34p26hb14258,FORD,E-350,,,,
1fdwe35l26hb10988,FORD,E-350,,,,
1fdss34p06hb07065,FORD,E-350,,,,
1fdss34p36hb07061,FORD,E-350,,,,
1gdgg31v061903480,GMC,Savana,,,,
2hkyf18666h550315,HONDA,Pilot,EX-L( With RES),Automatic,,
1j4fa39s76p730513,JEEP,Wrangler,X,,,
salsh23476a927844,LAND ROVER,Range Rover Sport,Supercharged,Automatic,,
salae25406a366288,LAND ROVER,LR3,SE / V8 SE,Automatic,,
salsf25446a947231,LAND ROVER,Range Rover Sport,HSE,Automatic,,
salsf254x6a908370,LAND ROVER,Range Rover Sport,HSE,Automatic,,
jtjbt20x460102609,LEXUS,GX,470,,,
jtjbt20x260117495,LEXUS,GX,470,,,
salsh23416a934739,LAND ROVER,Range Rover Sport,Supercharged,Automatic,,
salme15406a219475,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
salmf134x6a216101,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salmf13426a224564,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
4f2cz96136km01630,MAZDA,Tribute,,,,
wddfh33x86j055785,MERCEDES-BENZ,,,,,
jn1az34d96m309060,NISSAN,350Z,,,,
2mefm74v96x625082,MERCURY,Grand Marquis,,,,
2mefm74v86x613635,MERCURY,Grand Marquis,,,,
3vwft71k06m849977,VOLKSWAGEN,Jetta,,,,
1gyee637950232911,CADILLAC,SRX,,,,
1gyee637050108669,CADILLAC,SRX,,,,
1gyee637050191665,CADILLAC,SRX,,,,
kmhd25lh1eu160894,HYUNDAI,,,,,
2c8gf78475r271534,CHRYSLER,Pacifica,Limited,,,
2c8gf68425r662407,CHRYSLER,Pacifica,Touring,,,
1d4gp25r25b209557,DODGE,Caravan/Grand Caravan,"Base, C/V",,,
2c4gm68495r368123,CHRYSLER,Pacifica,Touring,,,
2c4gm68415r386955,CHRYSLER,Pacifica,Touring,,,
2c4gm684x5r424389,CHRYSLER,Pacifica,Touring,,,
2c4gm48l25r311550,CHRYSLER,Pacifica,Base,,,
1b3el46t65n604492,DODGE,Stratus,SXT,,,
1fmzu73k45ua02704,FORD,Explorer,XLT,,,
1fmzu72kx5za63687,FORD,Explorer,XLS,,,
1fmzu72k25ua72428,FORD,Explorer,XLS,,,
1fmzu73k95ub42215,FORD,Explorer,XLT,,,
2hges168x5h014298,HONDA,Civic,,,,
jtjbt20x550089528,LEXUS,GX,470,,,
salag25495a346632,LAND ROVER,LR3,HSE7,Automatic,,
jtjbt20x850078667,LEXUS,GX,470,,,
jm1fe17n850160699,MAZDA,RX-8,,,,
4f2cz961x5km04135,MAZDA,Tribute,,,,
4m2zu86e25uj05923,MERCURY,Mountaineer,,,,
